class,annotations,images,avg_bbox_area_px,avg_bbox_area_norm,min_bbox_area_px,max_bbox_area_px,avg_aspect_ratio
stem,64167044,237690,70.54767297680098,1.1653039823226034e-05,1.0,30000.0,0.023364235127081547
noteheadFullSmall,33953713,236293,321.61853111616983,5.551852581580606e-05,1.0,21608.0,1.1533965893833706
beam,19318106,218129,1519.2311628272462,0.00026445752715603124,4.0,247470.0,14.907578995538374
noteheadBlackOnLine,17199755,235368,321.80365284272943,5.5475327931992264e-05,2.0,15280.0,1.153231580969723
noteheadBlackInSpace,16753958,234878,321.4284835857891,5.556287312933191e-05,1.0,21608.0,1.15356598857956
legerLine,12065705,223217,71.42136965888027,1.2277064276620022e-05,2.0,10836.0,13.366905234784143
ledgerLine,12065705,223217,71.42136965888027,1.2277064276620022e-05,2.0,10836.0,13.366905234784143
staff,5160052,254203,113744.18916708592,0.01904933797726232,132.0,388220.0,57.27965146974851
augmentationDot,4619742,151267,45.52146678320997,7.860117983674574e-06,1.0,5130.0,1.0547547983343604
tie,4316856,132183,1271.5073720318676,0.0002160296426133907,1.0,82314.0,10.281694496445963
restWhole,3984956,130950,282.66571826639995,4.5564241917328956e-05,21.0,47016.0,2.7031409539046116
accidentalSharp,3516995,134864,858.6090341328321,0.00014899904095481216,200.0,22472.0,0.3288835369944384
clefG,3302910,243624,5057.922478662755,0.0008662370520065737,2475.0,11660.0,0.35888184785568583
accidentalFlat,3160024,130488,593.3293702832636,0.00010276035022377454,168.0,23664.0,0.3328926949498827
rest8th,2865976,127335,500.01324784296867,8.434524559483111e-05,6.0,7552.0,0.5888097919855166
noteheadHalfSmall,2856480,160333,368.7830833753431,6.361033203716283e-05,5.0,13685.0,1.2668484530659683
restQuarter,2234746,138885,747.6647198384067,0.00012623995920499386,28.0,8624.0,0.3381703952153223
flag8thDown,2166252,126571,713.0989035440014,0.00012025271643061665,8.0,18081.0,0.4386564559770016
keyFlat,2025344,96431,594.6113874976301,0.00010290381513279559,312.0,23664.0,0.33341566319901705
flag8thUp,1882582,122888,605.930111942003,0.00010304670017010372,77.0,4320.0,0.386656953193623
keySharp,1725455,88051,861.0132341904019,0.00014900725326493557,430.0,22472.0,0.3294914080421446
clefF,1705428,206615,2579.3562695112314,0.00044907154527976063,1054.0,10561.0,0.8499198115630212
accidentalNatural,1466872,102978,583.2884225753849,0.00010035784843674381,5.0,12901.0,0.22441584488652566
noteheadHalfInSpace,1432948,147119,368.66836270401996,6.361355045168967e-05,16.0,8820.0,1.266325492019531
noteheadHalfOnLine,1423532,147099,368.89856287038157,6.3607092335758e-05,5.0,13685.0,1.2673748732361354
slur,1119452,52343,4200.788460782597,0.0007043202422356551,1.0,671550.0,5.904978792081572
rest16th,971478,50495,881.8147667780433,0.00014578674066852607,456.0,7735.0,0.4725399396381617
articulationStaccato,925933,33726,39.449105928830704,6.499116295095105e-06,3.0,7904.0,1.056523877193543
brace,862100,123624,4639.328098828442,0.0008195466334792734,455.0,187187.0,0.06911559030928724
noteheadWhole,849517,75923,502.7143153109355,8.646905325114805e-05,203.0,11495.0,1.7719753097065423
restHalf,806038,88513,196.27364218560416,3.311585665026738e-05,96.0,9225.0,2.761503766338206
repeatDot,557826,25177,45.17550634068688,7.723108892567373e-06,6.0,6144.0,1.0484654200934558
articStaccatoAbove,556163,29589,39.44486238746555,6.578079603148468e-06,3.0,7904.0,1.0565975465436306
timeSigCommon,438608,21327,1550.3837549702696,0.0002455185711659134,725.0,21098.0,0.8021028513295934
noteheadWholeOnLine,426282,66609,502.9098531019372,8.656370575220431e-05,220.0,11495.0,1.7719731551180646
noteheadWholeInSpace,423235,65012,502.5173697827448,8.637371931696914e-05,203.0,925.0,1.771977479804196
flag16thDown,411088,23732,815.8239209123108,0.00012841361500692488,225.0,8424.0,0.3752128220678204
numeral4,371326,48498,734.7235124930654,0.00012453477655974054,4.0,15295.0,0.7660802725017385
articStaccatoBelow,369770,21985,39.45548854693458,6.38034930397151e-06,5.0,80.0,1.0564130727346797
timeSig4,355946,47694,757.2265708843477,0.00012829316034610984,323.0,15295.0,0.766148322290841
flag16thUp,298568,22670,767.081060260979,0.00012761001832161566,200.0,1107.0,0.2933912286460342
tuplet3,291646,23828,294.4334569992388,5.1770784897377975e-05,11.0,3330.0,0.6678763424852066
dynamicLetterF,291248,49603,1063.081737900346,0.0001746033539411697,130.0,8455.0,0.744598844935867
dynamicF,291248,49603,1063.081737900346,0.0001746033539411697,130.0,8455.0,0.744598844935867
rest32nd,267104,10741,1363.5896879118245,0.00020571192498380976,255.0,8550.0,0.4028331137998094
rest64th,223732,6401,1954.2611517351118,0.0003279923742615037,1080.0,2387.0,0.3490469294049334
articulationAccent,223297,15717,426.38558511757884,7.10928073772447e-05,154.0,12051.0,1.950695861124705
numeral8,208250,78530,242.9446818727491,4.149712904424099e-05,3.0,8964.0,0.7296423713256014
clef8,177658,73243,164.83496943565729,2.8443742815454344e-05,3.0,1344.0,0.7346639304468832
dynamicLetterP,160451,36195,674.925104860674,0.00011220214494334608,228.0,896.0,0.8930891554081488
dynamicP,160451,36195,674.925104860674,0.00011220214494334608,228.0,896.0,0.8930891554081488
articAccentAbove,141042,13432,426.42454020788136,7.124037861779672e-05,176.0,12051.0,1.9509388470001812
dynamicM,124114,35090,465.26844675056805,7.668251998396739e-05,210.0,680.0,1.4141394188261216
dynamicLetterM,124114,35090,465.26844675056805,7.668251998396739e-05,210.0,680.0,1.4141394188261216
dynamicCrescendoHairpin,116328,17571,8190.110360360361,0.001313003201413373,21.0,64256.0,17.239938064448896
fermataAbove,91034,13847,920.2458641826131,0.0001559516328924085,210.0,1170.0,1.590638361592342
dynamicDiminuendoHairpin,88666,14427,9858.086797645095,0.001530922445728115,15.0,96792.0,24.41399352352617
tupleBracket,87092,10271,1988.2402057594268,0.0003443347659065321,320.0,45360.0,9.407224725269153
tupletBracket,87092,10271,1988.2402057594268,0.0003443347659065321,320.0,45360.0,9.407224725269153
articAccentBelow,82255,9551,426.3187891313598,7.083976813437093e-05,154.0,544.0,1.9502792151634976
numeral3,75183,15379,522.4219171887262,8.841025154969697e-05,14.0,19400.0,0.6330310017769067
