epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3630.82,0.76218,0.38829,0.73418,0.88934,0.57839,0.58686,0.4762,0.64888,0.29141,0.71133,0.000166661,0.000166661,0.0668344
2,7139.16,0.66749,0.30087,0.72297,0.91478,0.58873,0.59429,0.48857,0.64005,0.28518,0.71073,0.000329722,0.000329722,0.0336642
3,10624.7,0.64043,0.28449,0.72164,0.91952,0.55365,0.56062,0.46124,0.65399,0.30789,0.71124,0.000478597,0.000478597,0.000479708
4,14099.3,0.62484,0.27491,0.72091,0.91053,0.50833,0.51445,0.42105,0.68236,0.36337,0.71376,0.000452732,0.000452732,0.000452732
5,17572.4,0.61415,0.26814,0.7203,0.90577,0.49194,0.50029,0.40854,0.70524,0.39236,0.7178,0.00041811,0.00041811,0.00041811
6,21054.5,0.60853,0.265,0.71997,0.9079,0.4959,0.50467,0.41233,0.70786,0.3962,0.71772,0.00037625,0.00037625,0.00037625
7,24531.4,0.6046,0.26217,0.71956,0.90534,0.51493,0.52078,0.42636,0.69429,0.38437,0.71463,0.000328982,0.000328982,0.000328982
8,28005.8,0.60255,0.26052,0.71933,0.89757,0.54184,0.53904,0.44358,0.67715,0.36736,0.71162,0.000278371,0.000278371,0.000278371
9,31478.7,0.60039,0.25871,0.71911,0.89906,0.56446,0.55754,0.4608,0.66018,0.34424,0.70973,0.000226629,0.000226629,0.000226629
10,34948.6,0.59848,0.2572,0.71887,0.90465,0.58179,0.57339,0.4769,0.64474,inf,0.70936,0.000176018,0.000176018,0.000176018
11,38420.3,0.59574,0.25544,0.71865,0.88582,0.59821,0.58521,0.48898,0.62984,inf,0.70916,0.00012875,0.00012875,0.00012875
12,41890.9,0.59363,0.25399,0.71856,0.88484,0.60823,0.59469,0.49873,0.61727,inf,0.70887,8.68902e-05,8.68902e-05,8.68902e-05
13,45361.5,inf,0.25245,0.71848,0.86747,0.61612,0.58676,0.49309,0.60992,inf,0.70846,5.22683e-05,5.22683e-05,5.22683e-05
14,48834.7,0.58962,0.25134,0.71837,0.85835,0.62202,0.58078,0.48865,0.6063,nan,0.70812,2.63975e-05,2.63975e-05,2.63975e-05
15,52306,0.58854,0.25065,0.71837,0.85245,0.6285,0.58443,0.49247,nan,nan,nan,1.04085e-05,1.04085e-05,1.04085e-05
