epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2519.21,1.06489,0.55221,0.73667,0.76463,0.43363,0.43633,0.31902,0.86763,0.37627,0.70842,0.000166652,0.000166652,0.0668363
2,5028.31,0.83566,0.36706,0.71564,0.83306,0.49929,0.50143,0.37948,0.81792,0.3451,0.70409,0.000327697,0.000327697,0.033664
3,7547.4,0.79027,0.3395,0.71292,0.8547,0.51441,0.5177,0.39577,0.80457,0.33551,0.70294,0.000466827,0.000466827,0.00046979
4,10062.4,0.76259,0.32247,0.71139,0.85973,0.51723,0.5204,0.40087,0.79959,0.33223,0.70265,0.000427509,0.000427509,0.000427509
5,12578.3,0.74576,0.31194,0.71046,0.86552,0.51764,0.52124,0.40345,0.7991,0.33249,0.7026,0.00037625,0.00037625,0.00037625
6,15089.7,0.73217,0.30363,0.70985,0.86824,0.52198,0.52516,0.40756,0.8,0.33429,0.7026,0.000316558,0.000316558,0.000316558
7,17610.8,0.72159,0.29688,0.70942,0.87831,0.5292,0.53276,0.41408,0.79896,0.33429,0.70244,0.0002525,0.0002525,0.0002525
8,20127.7,0.71271,0.29094,0.70903,0.88802,0.5367,0.54185,0.42176,0.79519,0.33241,0.70208,0.000188442,0.000188442,0.000188442
9,22644.8,0.70483,0.28557,0.7088,0.88747,0.54552,0.551,0.43016,0.78887,0.32878,0.70166,0.00012875,0.00012875,0.00012875
10,25165.6,0.69843,0.28142,0.70853,0.88802,0.55325,0.55975,0.43729,0.78215,0.32495,0.70131,7.74911e-05,7.74911e-05,7.74911e-05
11,27682.4,0.69335,0.27806,0.70852,0.8745,0.56185,0.56711,0.44309,0.776,0.32148,0.70101,3.81587e-05,3.81587e-05,3.81587e-05
12,30198.8,0.69037,0.27598,0.70834,0.88354,0.56665,0.57253,0.44776,0.77082,0.31904,0.70079,1.34334e-05,1.34334e-05,1.34334e-05
